"ger";"alberti-im-suff";"krawutschke";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/krawutschke";"Krawutschke"
"ger";"alberti-im-suff";"lehmann";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/lehmann";"Lehmann"
"ger";"alberti-im-suff";"lude";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/lude";"Lude"
"ger";"alberti-im-suff";"bulle";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/bulle";"Bulle"
"ger";"alberti-im-suff";"abramsen";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/abramsen";"Abramsen"
"ger";"alberti-im-suff";"mieze";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/mieze";"Mieze"
"ger";"alberti-im-suff";"henriette";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/henriette";"Henriette"
"ger";"alberti-im-suff";"angler";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/angler";"Angler"
"ger";"alberti-im-suff";"helene";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/helene";"Helene"
"ger";"alberti-im-suff";"der_herr";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/der_herr";"Der Herr"
"ger";"alberti-im-suff";"rufe";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/rufe";"Rufe von allen Seiten/Rufe von der Galerie/Rufe"
"ger";"alberti-im-suff";"das_vorstandsmitglied";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/das_vorstandsmitglied";"Das Vorstandsmitglied"
"ger";"alberti-im-suff";"ein_anderes_vorstandsmitglied";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/ein_anderes_vorstandsmitglied";"Ein anderes Vorstandsmitglied"
"ger";"alberti-im-suff";"morphy";"https://dracor.org/api/corpora/ger/play/alberti-im-suff/character/morphy";"Morphy"
"ger";"alberti-brot";"dietrich";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/dietrich";"Dietrich"
"ger";"alberti-brot";"helldrungen";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/helldrungen";"Helldrungen"
"ger";"alberti-brot";"erich";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/erich";"Erich"
"ger";"alberti-brot";"graefin";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/graefin";"Gräfin"
"ger";"alberti-brot";"liborius";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/liborius";"Liborius"
"ger";"alberti-brot";"ruediger";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/ruediger";"Rüdiger"
"ger";"alberti-brot";"probst";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/probst";"Probst"
"ger";"alberti-brot";"gerlind";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/gerlind";"Gerlind"
"ger";"alberti-brot";"ein_knappe";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/ein_knappe";"Ein Knappe"
"ger";"alberti-brot";"die_alte_steimann";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/die_alte_steimann";"Die alte Steimann"
"ger";"alberti-brot";"frau_huefer";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/frau_huefer";"Frau Hüfer"
"ger";"alberti-brot";"blinte";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/blinte";"Blinte"
"ger";"alberti-brot";"bauern_1";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/bauern_1";"Bauern (I. Akt)"
"ger";"alberti-brot";"engel";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/engel";"Engel"
"ger";"alberti-brot";"viele_stimmen";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/viele_stimmen";"Viele Stimmen"
"ger";"alberti-brot";"thomae";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/thomae";"Thomä"
"ger";"alberti-brot";"sander";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/sander";"Sander"
"ger";"alberti-brot";"reinhard";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/reinhard";"Reinhard"
"ger";"alberti-brot";"alle_1";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/alle_1";"Alle (I. Akt)"
"ger";"alberti-brot";"storch";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/storch";"Storch"
"ger";"alberti-brot";"einige_bauern";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/einige_bauern";"Einige Bauern"
"ger";"alberti-brot";"pfeifer";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/pfeifer";"Pfeifer"
"ger";"alberti-brot";"hans";"https://dracor.org/api/corpora/ger/play/alberti-brot/character/hans";"Hans"
